age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
55-64,Mujer,Masters degree,Canada,White,19,49,39,47,51,18.83%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Hombre,Left school at 17 years,UK,Mixed-White/Black,46,33,38,52,29,13.63%,11.83%,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,32,41,44,41,41,14.64%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Left school at 18 years,UK,White,31,40,35,44,45,11.46%,11.14%,Used in Last Year,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,43,39,38,44,41,18.83%,13.21%,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
55-64,Mujer,Left school at 16 years,UK,White,27,41,43,41,44,16.29%,13.21%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",UK,White,39,26,36,38,38,14.64%,3.77%,Used in Last Year,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
35-44,Hombre,Masters degree,UK,White,45,36,48,39,40,11.46%,11.83%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago
35-44,Hombre,Masters degree,UK,White,49,42,51,45,36,14.64%,11.62%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,Canada,White,40,37,51,45,47,10.34%,11.19%,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
25-34,Mujer,Left school at 18 years,UK,White,22,38,43,45,42,16.29%,8.97%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
65+,Hombre,Left school at 16 years,UK,White,34,34,39,48,45,14.64%,4.62%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,29,36,39,47,41,14.64%,3.77%,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,31,42,53,32,49,11.46%,11.83%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
35-44,Hombre,University degree,Canada,White,37,32,48,42,47,14.64%,4.62%,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
45-54,Hombre,Masters degree,UK,White,31,44,44,39,33,13.63%,8.97%,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Mujer,Doctorate degree,Canada,White,25,37,46,39,48,18.83%,11.14%,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,UK,White,29,58,51,49,52,11.46%,13.21%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Mujer,Masters degree,Other,White,26,55,50,33,39,18.83%,11.14%,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Never Used
45-54,Hombre,Left school at 16 years,Australia,White,30,43,34,42,48,14.64%,8.97%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 18 years,UK,White,30,48,55,34,42,16.29%,11.14%,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used in Last Month,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used in Last Month,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,Canada,White,36,44,44,41,43,13.63%,11.19%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,"Some college or university, no certificate or degree",Canada,White,27,41,45,50,46,16.29%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,18,43,33,38,54,14.64%,4.62%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,"Some college or university, no certificate or degree",UK,White,46,38,33,45,39,14.64%,8.97%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,Left school at 16 years,UK,White,37,40,37,38,46,11.46%,11.83%,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Hombre,University degree,UK,White,31,53,47,44,47,5.52%,11.14%,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,"Some college or university, no certificate or degree",UK,White,28,43,36,37,38,16.29%,11.62%,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Mujer,Masters degree,UK,Asian,34,42,47,41,41,13.63%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Mujer,Masters degree,UK,White,39,32,40,39,37,13.63%,13.21%,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
25-34,Hombre,University degree,UK,White,25,42,52,35,36,18.83%,11.83%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,36,44,48,44,47,13.63%,11.83%,Used in Last Month,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,17,52,55,38,31,5.52%,11.14%,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Hombre,Professional certificate/ diploma,Canada,White,38,36,40,45,49,14.64%,3.77%,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,Canada,White,42,36,47,31,39,11.46%,11.83%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Hombre,University degree,UK,White,51,45,55,44,33,11.46%,13.21%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",USA,White,53,26,29,50,44,18.83%,4.62%,Used in Last Week,Never Used,Never Used,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Never Used
35-44,Hombre,University degree,UK,White,32,44,39,45,51,18.83%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,Masters degree,UK,White,26,44,39,36,47,13.63%,5.46%,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Professional certificate/ diploma,UK,White,50,31,35,29,36,11.46%,11.62%,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
55-64,Mujer,Masters degree,UK,White,38,41,45,41,35,18.83%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,University degree,UK,White,38,35,43,43,43,7.85%,11.62%,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago
45-54,Mujer,Left school at 16 years,UK,White,32,52,48,46,46,18.83%,11.83%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Mujer,University degree,UK,White,31,48,49,44,49,11.46%,13.21%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Mujer,University degree,UK,White,25,44,38,40,42,18.83%,8.97%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
45-54,Hombre,Left school at 17 years,UK,White,32,34,40,45,48,14.64%,3.77%,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Mujer,Doctorate degree,UK,Asian,36,44,47,44,44,18.83%,7.00%,Never Used,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,Masters degree,UK,White,28,46,38,49,45,13.63%,13.21%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
